"","ID","factor","taxa","tips","node","clade","other"
"1","samp",1,"EQUIDAE, TAPIRIDAE, RHINOCEROTIDAE, CAMELIDAE, TAYASSUIDAE, SUIDAE, HIPPOPOTAMIDAE, PHYSETERIDAE, DELPHINIDAE, ESCHRICHTIIDAE, BALAENOPTERIDAE, BALAENIDAE, TRAGULIDAE, GIRAFFIDAE, ANTILOCAPRIDAE, CERVIDAE, BOVIDAE",119,819,3.76,2.4
"2","samp",2,"HIPPOPOTAMIDAE, PHYSETERIDAE, DELPHINIDAE, ESCHRICHTIIDAE, BALAENOPTERIDAE, BALAENIDAE, TRAGULIDAE, GIRAFFIDAE, ANTILOCAPRIDAE, CERVIDAE, BOVIDAE",100,838,3.16,6.95
"3","samp",3,"NATALIDAE, MOLOSSIDAE, VESPERTILIONIDAE, NYCTERIDAE, EMBALLONURIDAE",97,1045,1.55,2.54
"4","samp",4,"HYLOBATIDAE, HOMINIDAE, CERCOPITHECIDAE",63,1266,3.6,2.41
"5","samp",5,"Bos, Bison, Bubalus, Syncerus",11,872,6.09,2.8
"6","samp",6,"Ovis, Hemitragus, Capra, Budorcas",11,914,5.27,2.45
"7","samp",7,"Mus, Praomys, Mastomys, Stenocephalemys, Apodemus",20,1409,4.05,2.35
"8","samp",8,"CANIDAE",22,974,3.91,2.27
"9","samp",9,"CERVIDAE",20,850,3.8,1.98
"10","cites",1,"CUNICULIDAE, DASYPROCTIDAE, CAVIIDAE, ERETHIZONTIDAE, CHINCHILLIDAE, ECHIMYIDAE, MYOCASTORIDAE",14,1363,169.47,24.97
"11","cites",2,"Bos, Bison, Bubalus, Syncerus",11,872,183.98,22.72
"12","cites_fla",1,"Rattus, Mus, Praomys, Mastomys, Apodemus, Golunda, Vandeleuria",12,412,244.95,37.13
"13","cites_fla",2,"Tragelaphus, Bos, Bison, Bubalus, Syncerus",13,273,155.63,29.72
"14","cites_rha",1,"LEPORIDAE, SCIURIDAE, CUNICULIDAE, DASYPROCTIDAE, CAVIIDAE, ERETHIZONTIDAE, MYOCASTORIDAE, ECHIMYIDAE, CRICETIDAE, MURIDAE, HETEROMYIDAE, CASTORIDAE",31,552,143.5,24.97
"15","cites_rha",2,"BOVIDAE",14,323,108.92,20.31
"16","cites_rha",3,"RHINOLOPHIDAE, HIPPOSIDERIDAE, PTEROPODIDAE, MORMOOPIDAE, PHYLLOSTOMIDAE, MOLOSSIDAE, VESPERTILIONIDAE, NYCTERIDAE, EMBALLONURIDAE",130,413,5.11,36.51
"17","bsamp",1,"NATALIDAE, MOLOSSIDAE, VESPERTILIONIDAE, NYCTERIDAE, EMBALLONURIDAE",97,193,1.55,2.57
"18","bcites_rha",1,"MORMOOPIDAE, PHYLLOSTOMIDAE, MOLOSSIDAE, VESPERTILIONIDAE, NYCTERIDAE, EMBALLONURIDAE",114,132,4.82,7.16
