"","vfamily","dataset","variable","lambda","lambda_lower","lambda_lower_p","lambda_upper","lambda_upper_p"
"1","all viruses","all mammals","meanCFR",0.707540540534422,0.601042944646764,0,0.795375819442511,1e-06
"2","all viruses","all mammals","maxCFR",0.707763693632835,0.604979853501056,0,0.790274497582239,1e-06
"3","all viruses","all mammals","on.frac",0.83119331878188,0.762721698560537,0,0.881048068097504,1e-06
"4","all viruses","all mammals","meanDB",0.697907587075909,0.589485562653429,0,0.788846878690464,1e-06
"5","all viruses","bats only","meanCFR",0.913938631686207,0.719702427517237,0,0.975369498373678,1e-06
"6","all viruses","bats only","maxCFR",0.854072054312885,0.64845536390759,3.70814490224802e-14,0.942066584771459,1e-06
"7","all viruses","bats only","on.frac",0.713558148535777,0.465656266116298,9.0516483197689e-13,0.865703927396785,1e-06
"8","all viruses","bats only","meanDB",1,0.881707284802512,0,NA,1e-06
"9","coronaviridae","all mammals","meanCFR",0.191086183219338,NA,0.160294822499773,0.514932037054415,1e-06
"10","coronaviridae","all mammals","maxCFR",0.191086183220021,NA,0.160294822499773,0.514932037054417,1e-06
"11","coronaviridae","all mammals","meanDB",0.19108618321902,NA,0.160294822499743,0.514932037054398,1e-06
"12","coronaviridae","bats only","meanCFR",1e-06,NA,1,0.580337107147733,1e-06
"13","coronaviridae","bats only","maxCFR",1e-06,NA,1,0.580337107147742,1e-06
"14","coronaviridae","bats only","meanDB",1e-06,NA,1,0.58033710714772,1e-06
"15","flaviviridae","all mammals","meanCFR",0.875365907893229,0.754978209733853,0,0.950554814090521,1e-06
"16","flaviviridae","all mammals","maxCFR",0.688114705014761,0.516618838457526,0,0.818982845797465,1e-06
"17","flaviviridae","all mammals","on.frac",1e-06,NA,1,0.0925559607044161,1e-06
"18","flaviviridae","all mammals","meanDB",0.886554107868602,0.76798928178627,0,0.958415300810069,1e-06
"19","flaviviridae","bats only","meanCFR",0.998428471915698,0.850407665345657,7.54660745005964e-09,NA,1e-06
"20","flaviviridae","bats only","maxCFR",0.947655719650858,0.691197360200154,1.55516113542475e-07,0.997393923808682,1e-06
"21","flaviviridae","bats only","meanDB",1,0.940830547557979,1.28236952168237e-08,NA,1e-06
"22","rhabdoviridae","all mammals","meanCFR",0.68792417667849,0.526949171291253,0,0.808726030347857,1e-06
"23","rhabdoviridae","all mammals","maxCFR",0.828558212048247,0.703281471901238,0,0.903430919287281,1e-06
"24","rhabdoviridae","all mammals","meanDB",0.840880307229351,0.705613722872216,0,0.911868102194652,1e-06
"25","rhabdoviridae","bats only","meanCFR",0.486654425871394,0.198580999478585,3.65547166740754e-05,0.776622757208179,1e-06
"26","rhabdoviridae","bats only","maxCFR",1e-06,NA,1,NA,1e-06
"27","rhabdoviridae","bats only","meanDB",0.958605960390285,0.889107616365627,7.7971518130937e-09,0.986168460658048,1e-06
"28","togaviridae","all mammals","meanCFR",0.521088532989289,0.203016649276793,3.69035911853555e-05,0.766641983967916,1e-06
"29","togaviridae","all mammals","maxCFR",0.413078310706302,0.157824024590356,8.64552129420382e-06,0.670050413200078,1e-06
"30","togaviridae","all mammals","meanDB",0.475588200726927,0.200951803595111,1.47764594227162e-07,0.733693800841988,1e-06
"31","togaviridae","bats only","meanCFR",0.478771514924184,NA,0.680718631383405,0.945813263012754,1e-06
"32","togaviridae","bats only","maxCFR",1e-06,NA,1,0.649896148051878,1e-06
"33","togaviridae","bats only","on.frac",0.813939798838273,NA,1,0.973863934233541,1e-06
"34","togaviridae","bats only","meanDB",1e-06,NA,1,0.932674582517528,1e-06
"35","paramyxoviridae","all mammals","maxCFR",0.922193711683237,NA,0.117729401765744,0.991967345385814,1e-06
"36","paramyxoviridae","all mammals","on.frac",1e-06,NA,1,0.537539687351993,1e-06
"37","paramyxoviridae","all mammals","meanDB",1e-06,NA,1,0.506031517084456,1e-06
"38","paramyxoviridae","bats only","meanCFR",0.869501348447566,NA,1,0.988866551262069,1e-06
"39","paramyxoviridae","bats only","maxCFR",0.934829758092816,NA,0.113480984828028,0.997296411460962,1e-06
"40","paramyxoviridae","bats only","on.frac",1e-06,NA,1,0.67259668424805,1e-06
"41","paramyxoviridae","bats only","meanDB",1e-06,NA,1,0.626294733785643,1e-06
