"","ID","factor","taxa","tips","clade","other","dum"
"1","cites",1,"Rattus",11,331907.36,11013.8,"keep"
"2","cites",2,"CUNICULIDAE, DASYPROCTIDAE, CAVIIDAE, ERETHIZONTIDAE, CHINCHILLIDAE, ECHIMYIDAE, MYOCASTORIDAE",18,211894.22,7223.61,"keep"
"3","cites",3,"Mus, Hylomyscus, Praomys, Mastomys, Stenocephalemys",16,127598.38,5170.31,"keep"
"4","cites",4,"Bos, Bison, Bubalus, Syncerus",11,110815.09,3916.7,"keep"
"5","cites",5,"Ovis, Hemitragus, Capra, Budorcas, Oreamnos, Rupicapra, Ammotragus",16,44668.25,3200.98,"keep"
"6","cites_cov",1,"CALLITRICHIDAE, CEBIDAE, HYLOBATIDAE, HOMINIDAE, CERCOPITHECIDAE, LEPORIDAE, SCIURIDAE, DIPODIDAE, CRICETIDAE, MURIDAE",23,113560.57,4759.39,"keep"
"7","cites_cov",2,"HYLOBATIDAE, HOMINIDAE, CERCOPITHECIDAE",12,14131.33,222028.82,"keep"
"8","cites_cov",3,"MANIDAE, CANIDAE, PHOCIDAE, OTARIIDAE, MUSTELIDAE, URSIDAE, VIVERRIDAE, FELIDAE, EQUIDAE, RHINOCEROTIDAE, CAMELIDAE, SUIDAE, INIIDAE, PHOCOENIDAE, MONODONTIDAE, DELPHINIDAE, BOVIDAE",39,9081.23,77.39,"keep"
"9","cites_cov",4,"CANIDAE, PHOCIDAE, OTARIIDAE, MUSTELIDAE, URSIDAE",14,2879,12554.48,"keep"
"10","cites_cov",5,"CAMELIDAE, SUIDAE, INIIDAE, PHOCOENIDAE, MONODONTIDAE, DELPHINIDAE, BOVIDAE",13,3963.69,21861.17,"keep"
"11","cites_fla",1,"Rattus, Mus, Praomys, Mastomys, Apodemus, Aethomys, Thallomys, Arvicanthis, Dasymys, Golunda, Millardia, Vandeleuria",19,299685.58,9702.14,"keep"
"12","cites_fla",2,"Tragelaphus, Bos, Bison, Bubalus, Syncerus",13,93759.46,6571.06,"keep"
"13","cites_fla",3,"Ovis, Capra, Oreamnos, Rupicapra, Ammotragus",10,55492.9,5127.94,"keep"
"14","cites_fla",4,"MEGADERMATIDAE, RHINOLOPHIDAE, HIPPOSIDERIDAE, PTEROPODIDAE, NOCTILIONIDAE, MORMOOPIDAE, PHYLLOSTOMIDAE, NATALIDAE, MOLOSSIDAE, VESPERTILIONIDAE, EMBALLONURIDAE",75,69.95,6564.87,"keep"
"15","cites_fla",5,"PITHECIIDAE, CALLITRICHIDAE, CEBIDAE, AOTIDAE, ATELIDAE",30,539.3,7337.38,"keep"
"16","cites_rha",1,"LEPORIDAE, SCIURIDAE, CUNICULIDAE, DASYPROCTIDAE, CAVIIDAE, ERETHIZONTIDAE, ECHIMYIDAE, MYOCASTORIDAE, CRICETIDAE, MURIDAE, HETEROMYIDAE, CASTORIDAE",38,208752.18,7694.62,"keep"
"17","cites_rha",2,"SCIURIDAE",10,215,283229.75,"keep"
"18","cites_rha",3,"CANIDAE, MEPHITIDAE, PROCYONIDAE, MUSTELIDAE, URSIDAE, HYAENIDAE, HERPESTIDAE, VIVERRIDAE, FELIDAE, EQUIDAE, CAMELIDAE, TAYASSUIDAE, SUIDAE, ANTILOCAPRIDAE, CERVIDAE, BOVIDAE",108,18274.79,177.14,"keep"
"19","cites_rha",4,"CERVIDAE, BOVIDAE",24,46171.29,10304.36,"keep"
"20","cites_rha",5,"Lycaon, Chrysocyon, Canis, Pseudalopex, Speothos, Cerdocyon",11,32978.09,6887.77,"keep"
"21","cites_tog",1,"Rattus, Hydromys, Pseudomys, Mus, Mastomys, Apodemus",10,569208.3,5895.14,"keep"
