"","ID","factor","taxa","tips","clade","other","dum"
"22","cites_tog",2,"CANIDAE, PHOCIDAE, MEPHITIDAE, PROCYONIDAE, URSIDAE, FELIDAE, EQUIDAE, TAPIRIDAE, CAMELIDAE, TAYASSUIDAE, SUIDAE, CERVIDAE, BOVIDAE",24,29432.83,1710.66,"keep"
"23","cites_tog",3,"HOMINIDAE, CERCOPITHECIDAE",13,14306.77,368.45,"keep"
"24","cites_tog",4,"CAMELIDAE, TAYASSUIDAE, SUIDAE, CERVIDAE, BOVIDAE",10,45471.1,17976.93,"keep"
"25","cites_tog",5,"CRICETIDAE",18,1664.89,144.07,"keep"
"26","cites_par",1,"RHINOLOPHIDAE, HIPPOSIDERIDAE, PTEROPODIDAE, VESPERTILIONIDAE",35,419.29,252386.64,"keep"
"27","cites_par",2,"Pteropus vampyrus, Pteropus rodricensis, Pteropus giganteus, Pteropus lylei, Pteropus rufus, Pteropus pumilus, Pteropus poliocephalus, Pteropus hypomelanus, Pteropus conspicillatus, Pteropus alecto, Pteropus admiralitatum, Pteropus neohibernicus, Pteropus capistratus",13,1039.23,52.95,"keep"
"28","bcites",1,"Pteropus vampyrus, Pteropus rodricensis, Pteropus giganteus, Pteropus lylei, Pteropus rufus, Pteropus pumilus, Pteropus poliocephalus, Pteropus hypomelanus, Pteropus conspicillatus, Pteropus alecto, Pteropus admiralitatum, Pteropus neohibernicus, Pteropus capistratus",13,1039.23,68.34,"keep"
"29","bcites",2,"NATALIDAE, MOLOSSIDAE, VESPERTILIONIDAE, NYCTERIDAE, EMBALLONURIDAE",109,91.56,42.51,"keep"
"30","bcites",3,"MOLOSSIDAE, VESPERTILIONIDAE",99,60.76,396.5,"keep"
"31","bcites",4,"Myotis dasycneme, Myotis nattereri, Myotis myotis, Myotis blythii, Myotis macrodactylus, Myotis pilosus, Myotis daubentonii, Myotis capaccinii, Myotis flavus, Myotis formosus",10,176.3,47.78,"keep"
"32","bcites",5,"Eptesicus, Histiotus, Lasionycteris, Ia",11,92.55,41.46,"keep"
"33","bcites_cov",1,"RHINOLOPHIDAE, HIPPOSIDERIDAE",16,37.69,78.63,"keep"
"34","bcites_fla",1,"MEGADERMATIDAE, RHINOLOPHIDAE, HIPPOSIDERIDAE",12,41.67,75.33,"keep"
"35","bcites_fla",2,"Artibeus, Dermanura, Platyrrhinus, Sturnira, Rhinophylla",10,42.7,81.49,"keep"
"36","bcites_fla",3,"MORMOOPIDAE, PHYLLOSTOMIDAE",10,123.6,71.7,"keep"
"37","bcites_fla",4,"MOLOSSIDAE, VESPERTILIONIDAE",28,76.82,62.13,"keep"
"38","bcites_rha",1,"Micronycteris, Lonchorhina, Glossophaga, Leptonycteris, Anoura, Lonchophylla, Artibeus, Dermanura, Vampyrodes, Platyrrhinus, Uroderma, Sturnira, Carollia, Trachops, Phyllostomus, Lophostoma, Chrotopterus",26,40.23,109.82,"keep"
"39","bcites_rha",2,"MOLOSSIDAE, VESPERTILIONIDAE",75,73.83,202.9,"keep"
"40","bcites_rha",3,"MORMOOPIDAE, PHYLLOSTOMIDAE, NYCTERIDAE, EMBALLONURIDAE",13,357.15,77.56,"keep"
"41","bcites_rha",4,"Nyctinomops, Molossops, Cynomops, Molossus, Eumops",12,28.08,82.54,"keep"
"42","bcites_rha",5,"Myotis riparius, Myotis grisescens, Myotis austroriparius, Myotis yumanensis, Myotis velifer, Myotis albescens, Myotis chiloensis, Myotis nigricans, Myotis levis, Myotis volans, Myotis septentrionalis, Myotis ciliolabrum, Myotis leibii, Myotis californicus, Myotis lucifugus, Myotis keenii, Myotis evotis, Myotis thysanodes",18,38.67,100.09,"keep"
"43","bcites_tog",1,"Glossophaga, Artibeus, Dermanura, Platyrrhinus, Uroderma, Sturnira, Carollia, Trachops, Phyllostomus",18,59.83,139.61,"keep"
"44","bcites_par",1,"Pteropus vampyrus, Pteropus rodricensis, Pteropus giganteus, Pteropus lylei, Pteropus rufus, Pteropus pumilus, Pteropus poliocephalus, Pteropus hypomelanus, Pteropus conspicillatus, Pteropus alecto, Pteropus admiralitatum, Pteropus neohibernicus, Pteropus capistratus",13,1039.23,52.95,"keep"
