"","ID","factor","taxa","tips","node","clade","other"
"1","cmean",1,"NATALIDAE, MOLOSSIDAE, VESPERTILIONIDAE, NYCTERIDAE, EMBALLONURIDAE",97,1045,0.77,0.2
"2","cmean",2,"CANIDAE, PHOCIDAE, ODOBENIDAE, OTARIIDAE, MEPHITIDAE, PROCYONIDAE, MUSTELIDAE, AILURIDAE, URSIDAE, HYAENIDAE, HERPESTIDAE, VIVERRIDAE, FELIDAE",107,937,0.46,0.15
"3","cmean",3,"RHINOLOPHIDAE, HIPPOSIDERIDAE, PTEROPODIDAE, MORMOOPIDAE, PHYLLOSTOMIDAE",93,1043,0.38,0.11
"4","cmean",4,"Neotoma, Reithrodontomys, Onychomys, Peromyscus, Megadontomys, Baiomys, Tylomys, Sigmodon, Bibimys, Necromys, Akodon, Thaptomys, Oxymycterus, Zygodontomys, Hylaeamys, Nephelomys, Oecomys, Transandinomys, Handleyomys, Oligoryzomys, Nectomys, Melanomys, Oryzomys, Sooretamys, Calomys, Loxodontomys, Graomys, Abrothrix",78,1464,0.31,0.07
"5","cmean",5,"PHOCIDAE, ODOBENIDAE, OTARIIDAE",11,1003,-0.04,0.52
"6","cmean",6,"RHINOLOPHIDAE, HIPPOSIDERIDAE",24,1185,0.11,0.47
"7","cmeans_fla",1,"EQUIDAE, RHINOCEROTIDAE, CAMELIDAE, SUIDAE, DELPHINIDAE, TRAGULIDAE, GIRAFFIDAE, ANTILOCAPRIDAE, CERVIDAE, BOVIDAE",69,243,0.01,0.1
"8","cmeans_fla",2,"RHINOLOPHIDAE, HIPPOSIDERIDAE, PTEROPODIDAE",13,362,0.21,0.09
"9","cmeans_fla",3,"VESPERTILIONIDAE",13,333,0.19,0.08
"10","cmeans_fla",4,"CANIDAE, PHOCIDAE, MEPHITIDAE, PROCYONIDAE, MUSTELIDAE, URSIDAE, HERPESTIDAE, FELIDAE",16,311,0.14,0.07
"11","cmeans_fla",5,"CALLITRICHIDAE, CEBIDAE, ATELIDAE, HOMINIDAE, CERCOPITHECIDAE",18,375,0.12,0.06
"12","cmean_rha",1,"CANIDAE, MEPHITIDAE, PROCYONIDAE, MUSTELIDAE, URSIDAE, HYAENIDAE, HERPESTIDAE, VIVERRIDAE, FELIDAE, EQUIDAE, CAMELIDAE, TAYASSUIDAE, SUIDAE, ANTILOCAPRIDAE, CERVIDAE, BOVIDAE, RHINOLOPHIDAE, HIPPOSIDERIDAE, PTEROPODIDAE, MORMOOPIDAE, PHYLLOSTOMIDAE, MOLOSSIDAE, VESPERTILIONIDAE, NYCTERIDAE, EMBALLONURIDAE",242,301,0.91,0.38
"13","cmean_tog",1,"MOLOSSIDAE, VESPERTILIONIDAE, EMBALLONURIDAE",12,176,0.18,0.05
