"","ID","factor","taxa","tips","node","clade","other"
"27","dbmean",2,"CANIDAE, PHOCIDAE, ODOBENIDAE, OTARIIDAE, MEPHITIDAE, PROCYONIDAE, MUSTELIDAE, AILURIDAE, URSIDAE, HYAENIDAE, HERPESTIDAE, VIVERRIDAE, FELIDAE, EQUIDAE, TAPIRIDAE, RHINOCEROTIDAE, CAMELIDAE, TAYASSUIDAE, SUIDAE, HIPPOPOTAMIDAE, PHYSETERIDAE, PHOCOENIDAE, MONODONTIDAE, DELPHINIDAE, ESCHRICHTIIDAE, BALAENOPTERIDAE, BALAENIDAE, TRAGULIDAE, GIRAFFIDAE, ANTILOCAPRIDAE, CERVIDAE, BOVIDAE, MEGADERMATIDAE, HIPPOSIDERIDAE, PTEROPODIDAE, MORMOOPIDAE, PHYLLOSTOMIDAE, NATALIDAE, MOLOSSIDAE, VESPERTILIONIDAE, NYCTERIDAE, EMBALLONURIDAE",431,906,235.78,95.48
"28","dbmean",3,"CAMELIDAE, TAYASSUIDAE, SUIDAE, HIPPOPOTAMIDAE, PHYSETERIDAE, PHOCOENIDAE, MONODONTIDAE, DELPHINIDAE, ESCHRICHTIIDAE, BALAENOPTERIDAE, BALAENIDAE, TRAGULIDAE, GIRAFFIDAE, ANTILOCAPRIDAE, CERVIDAE, BOVIDAE",120,916,58.61,289.95
"29","dbmean_fla",1,"PITHECIIDAE, CALLITRICHIDAE, CEBIDAE, AOTIDAE, ATELIDAE, HOMINIDAE, CERCOPITHECIDAE",55,530,268.08,107.76
"30","dbmean_fla",2,"RHINOLOPHIDAE, HIPPOSIDERIDAE, PTEROPODIDAE, MORMOOPIDAE, PHYLLOSTOMIDAE, NATALIDAE, MOLOSSIDAE, VESPERTILIONIDAE, EMBALLONURIDAE",64,454,232.16,72.67
"31","dbmean_fla",3,"ELEPHANTIDAE, DASYPODIDAE, MYRMECOPHAGIDAE, CYCLOPEDIDAE, MEGALONYCHIDAE, BRADYPODIDAE, TALPIDAE, SORICIDAE, ERINACEIDAE, CANIDAE, PHOCIDAE, MEPHITIDAE, PROCYONIDAE, MUSTELIDAE, AILURIDAE, URSIDAE, HERPESTIDAE, FELIDAE, EQUIDAE, RHINOCEROTIDAE, CAMELIDAE, TAYASSUIDAE, SUIDAE, DELPHINIDAE, TRAGULIDAE, GIRAFFIDAE, ANTILOCAPRIDAE, CERVIDAE, BOVIDAE, TUPAIIDAE, GALAGIDAE, LORISIDAE, INDRIIDAE, LEMURIDAE, LEPILEMURIDAE, OCHOTONIDAE, LEPORIDAE, SCIURIDAE, CTENODACTYLIDAE, DASYPROCTIDAE, ERETHIZONTIDAE, ECHIMYIDAE, DIPODIDAE, CRICETIDAE, MURIDAE, HETEROMYIDAE, GEOMYIDAE",215,346,61.04,303.6
"32","dbmean_fla",4,"DELPHINIDAE, TRAGULIDAE, GIRAFFIDAE, ANTILOCAPRIDAE, CERVIDAE, BOVIDAE",59,372,14.94,78.59
"33","dbmean_rha",1,"CANIDAE, MEPHITIDAE, PROCYONIDAE, MUSTELIDAE, URSIDAE, HYAENIDAE, HERPESTIDAE, VIVERRIDAE, FELIDAE, EQUIDAE, CAMELIDAE, TAYASSUIDAE, SUIDAE, ANTILOCAPRIDAE, CERVIDAE, BOVIDAE, RHINOLOPHIDAE, HIPPOSIDERIDAE, PTEROPODIDAE, MORMOOPIDAE, PHYLLOSTOMIDAE, MOLOSSIDAE, VESPERTILIONIDAE, NYCTERIDAE, EMBALLONURIDAE",243,305,337.44,182.75
"34","dbmean_tog",1,"PERAMELIDAE, DASYURIDAE, PHASCOLARCTIDAE, VOMBATIDAE, PHALANGERIDAE, MACROPODIDAE, POTOROIDAE, PSEUDOCHEIRIDAE, PETAURIDAE",22,279,-0.29,20.37
"35","bmean",1,"NATALIDAE, MOLOSSIDAE, VESPERTILIONIDAE, NYCTERIDAE, EMBALLONURIDAE",102,205,0.71,0.4
"36","bmean",2,"MEGADERMATIDAE, RHINOLOPHIDAE, HIPPOSIDERIDAE",28,350,0.14,0.46
"37","bmean_fla",1,"RHINOLOPHIDAE, HIPPOSIDERIDAE",10,112,0.21,0.09
"38","bmean_fla",2,"VESPERTILIONIDAE",16,77,0.16,0.06
"39","bmean_rha",1,"Lonchophylla, Artibeus, Dermanura, Vampyrodes, Platyrrhinus, Uroderma, Sturnira, Trachops, Phyllostomus, Lophostoma, Chrotopterus",16,221,0.71,0.98
"40","bmean_rha",2,"Diaemus, Desmodus, Diphylla, Micronycteris, Lonchorhina, Glossophaga, Leptonycteris, Anoura",12,217,0.9,1
"41","bmax",1,"MEGADERMATIDAE, RHINOLOPHIDAE, HIPPOSIDERIDAE",28,350,0.32,0.79
"42","bmax",2,"Lonchophylla, Artibeus, Dermanura, Vampyrodes, Platyrrhinus, Uroderma, Sturnira, Rhinophylla, Carollia, Trachops, Phyllostomus, Tonatia, Lophostoma, Chrotopterus",27,313,0.47,0.85
"43","bmax_rha",1,"Lonchophylla, Artibeus, Dermanura, Vampyrodes, Platyrrhinus, Uroderma, Sturnira, Trachops, Phyllostomus, Lophostoma, Chrotopterus",16,221,0.82,1
"44","bdbmean",1,"RHINOLOPHIDAE",17,352,1188.48,289
"45","bdbmean_cov",1,"RHINOLOPHIDAE",12,32,1606.85,1606.85
"46","bot",1,"VESPERTILIONIDAE",73,232,0.12,0.38
