"","ID","factor","taxa","tips","node","clade","other"
"1","cmean",1,"NATALIDAE, MOLOSSIDAE, VESPERTILIONIDAE, NYCTERIDAE, EMBALLONURIDAE",102,1154,0.73,0.2
"2","cmean",2,"CANIDAE, PHOCIDAE, ODOBENIDAE, OTARIIDAE, MEPHITIDAE, PROCYONIDAE, MUSTELIDAE, AILURIDAE, URSIDAE, HYAENIDAE, HERPESTIDAE, VIVERRIDAE, FELIDAE",118,1035,0.43,0.16
"3","cmean",3,"MEGADERMATIDAE, RHINOLOPHIDAE, HIPPOSIDERIDAE, PTEROPODIDAE, MORMOOPIDAE, PHYLLOSTOMIDAE",100,1152,0.37,0.12
"4","cmean",4,"Neotoma, Reithrodontomys, Onychomys, Peromyscus, Megadontomys, Baiomys",30,1632,0.44,0.11
"5","cmean",5,"PHOCIDAE, ODOBENIDAE, OTARIIDAE",17,1103,0.08,0.49
"6","cmean",6,"MEGADERMATIDAE, RHINOLOPHIDAE, HIPPOSIDERIDAE",28,1299,0.14,0.46
"7","cmeans_fla",1,"PITHECIIDAE, CALLITRICHIDAE, CEBIDAE, AOTIDAE, ATELIDAE, HOMINIDAE, CERCOPITHECIDAE",55,530,0.22,0.07
"8","cmeans_fla",2,"TRAGULIDAE, GIRAFFIDAE, ANTILOCAPRIDAE, CERVIDAE, BOVIDAE",58,373,0.01,0.08
"9","cmeans_fla",3,"RHINOLOPHIDAE, HIPPOSIDERIDAE",10,501,0.22,0.08
"10","cmean_rha",1,"CANIDAE, MEPHITIDAE, PROCYONIDAE, MUSTELIDAE, URSIDAE, HYAENIDAE, HERPESTIDAE, VIVERRIDAE, FELIDAE, EQUIDAE, CAMELIDAE, TAYASSUIDAE, SUIDAE, ANTILOCAPRIDAE, CERVIDAE, BOVIDAE, RHINOLOPHIDAE, HIPPOSIDERIDAE, PTEROPODIDAE, MORMOOPIDAE, PHYLLOSTOMIDAE, MOLOSSIDAE, VESPERTILIONIDAE, NYCTERIDAE, EMBALLONURIDAE",243,305,0.91,0.41
"11","cmean_tog",1,"MOLOSSIDAE, VESPERTILIONIDAE, EMBALLONURIDAE",12,176,0.18,0.05
"12","cmax",1,"CANIDAE, PHOCIDAE, ODOBENIDAE, OTARIIDAE, MEPHITIDAE, PROCYONIDAE, MUSTELIDAE, AILURIDAE, URSIDAE, HYAENIDAE, HERPESTIDAE, VIVERRIDAE, FELIDAE, EQUIDAE, TAPIRIDAE, RHINOCEROTIDAE, CAMELIDAE, TAYASSUIDAE, SUIDAE, HIPPOPOTAMIDAE, PHYSETERIDAE, PHOCOENIDAE, MONODONTIDAE, DELPHINIDAE, ESCHRICHTIIDAE, BALAENOPTERIDAE, BALAENIDAE, TRAGULIDAE, GIRAFFIDAE, ANTILOCAPRIDAE, CERVIDAE, BOVIDAE, MEGADERMATIDAE, RHINOLOPHIDAE, HIPPOSIDERIDAE, PTEROPODIDAE, MORMOOPIDAE, PHYLLOSTOMIDAE, NATALIDAE, MOLOSSIDAE, VESPERTILIONIDAE, NYCTERIDAE, EMBALLONURIDAE",448,906,0.59,0.25
"13","cmax",2,"TAYASSUIDAE, SUIDAE, HIPPOPOTAMIDAE, PHYSETERIDAE, PHOCOENIDAE, MONODONTIDAE, DELPHINIDAE, ESCHRICHTIIDAE, BALAENOPTERIDAE, BALAENIDAE, TRAGULIDAE, GIRAFFIDAE, ANTILOCAPRIDAE, CERVIDAE, BOVIDAE",114,922,0.25,0.71
"14","cmax",3,"Neotoma, Reithrodontomys, Onychomys, Peromyscus, Megadontomys, Baiomys",30,1632,0.72,0.21
"15","cmax",4,"PHOCIDAE, ODOBENIDAE, OTARIIDAE",17,1103,0.21,0.74
"16","cmax",5,"MEGADERMATIDAE, RHINOLOPHIDAE, HIPPOSIDERIDAE",28,1299,0.33,0.78
"17","cmax_fla",1,"PITHECIIDAE, CALLITRICHIDAE, CEBIDAE, AOTIDAE, ATELIDAE, HOMINIDAE, CERCOPITHECIDAE",55,530,0.27,0.09
"18","cmax_fla",2,"RHINOLOPHIDAE, HIPPOSIDERIDAE, PTEROPODIDAE, MORMOOPIDAE, PHYLLOSTOMIDAE, NATALIDAE, MOLOSSIDAE, VESPERTILIONIDAE, EMBALLONURIDAE",64,454,0.15,0.08
"19","cmax_fla",3,"TRAGULIDAE, GIRAFFIDAE, ANTILOCAPRIDAE, CERVIDAE, BOVIDAE",58,373,0.03,0.09
"20","cmax_rha",1,"CANIDAE, MEPHITIDAE, PROCYONIDAE, MUSTELIDAE, URSIDAE, HYAENIDAE, HERPESTIDAE, VIVERRIDAE, FELIDAE, EQUIDAE, CAMELIDAE, TAYASSUIDAE, SUIDAE, ANTILOCAPRIDAE, CERVIDAE, BOVIDAE, RHINOLOPHIDAE, HIPPOSIDERIDAE, PTEROPODIDAE, MORMOOPIDAE, PHYLLOSTOMIDAE, MOLOSSIDAE, VESPERTILIONIDAE, NYCTERIDAE, EMBALLONURIDAE",243,305,0.97,0.46
"21","cmax_tog",1,"CANIDAE, PHOCIDAE, MEPHITIDAE, PROCYONIDAE, URSIDAE, EQUIDAE, CAMELIDAE, TAYASSUIDAE, SUIDAE, CERVIDAE, BOVIDAE, HIPPOSIDERIDAE, PTEROPODIDAE, PHYLLOSTOMIDAE, MOLOSSIDAE, VESPERTILIONIDAE, EMBALLONURIDAE",55,154,0.14,0.05
"22","cot",1,"HYLOBATIDAE, HOMINIDAE, CERCOPITHECIDAE",58,1339,0.8,0.27
"23","cot_fla",1,"PITHECIIDAE, CALLITRICHIDAE, CEBIDAE, AOTIDAE, ATELIDAE, HOMINIDAE, CERCOPITHECIDAE",55,436,0.67,0.21
"24","cot_fla",2,"MORMOOPIDAE, PHYLLOSTOMIDAE, NATALIDAE, MOLOSSIDAE, VESPERTILIONIDAE, EMBALLONURIDAE",44,363,0.46,0.12
"25","cot_tog",1,"HOMINIDAE, CERCOPITHECIDAE",11,209,0.92,0.1
"26","dbmean",1,"RHINOLOPHIDAE",17,1301,1190.5,162.38
