species,meanCFR,maxCFR,virusesWithCFR,htrans,on.frac,virusesWithOT
Sciurus vulgaris,0.005545833333333333,0.02,6,1,0.2,5
Scotophilus kuhlii,0.2793047174741667,1,8,6,0.75,8
Sekeetamys calurus,0.046138105400000004,0.046138105400000004,1,0,0,1
Semnopithecus entellus,0.11556292351666667,0.325,6,4,0.6666666666666666,6
Sigmodon alstoni,0.333333333,0.333333333,1,0,0,1
Sigmodon hispidus,0.1535857716125,1,16,1,0.07692307692307693,13
Sigmodon toltecus,1,1,1,0,0,1
Sooretamys angouya,0.155,0.31,2,1,1,1
Sorex araneus,0.11831116075,0.785714286,8,1,0.125,8
Sorex arcticus,0,0,1,0,0,1
Sorex minutus,0,0,1,0,0,1
Speothos venaticus,0.334425,1,3,1,0.3333333333333333,3
Spermophilus citellus,0.033069052700000004,0.046138105400000004,2,0,0,2
Spermophilus fulvus,0,0,1,0,0,1
Spilogale gracilis,1,1,1,0,0,1
Spilogale putorius,0.5580110495,1,2,0,0,2
Stenocephalemys albipes,0,0,1,NA,NA,NA
Sturnira lilium,0.16832108399600001,1,10,2,0.25,8
Sturnira ludovici,0.0019485264,0.0019485264,1,0,0,1
Sturnira parvidens,0.1659742632,0.33,2,0,0,2
Sturnira tildae,0.1,0.1,1,0,0,1
Suncus murinus,0.06635042351666667,0.2501025411,6,3,0.6,5
Sundamys muelleri,0.025,0.025,1,1,1,1
Suricata suricatta,0.5000341803666667,1,3,1,0.3333333333333333,3
Sus scrofa,0.10495512072933334,1,25,6,0.2727272727272727,22
Sylvicapra grimmia,0,0,2,0,0,1
Sylvilagus audubonii,0.02838970528,0.1,5,0,0,5
Sylvilagus brasiliensis,0,0,1,0,0,1
Sylvilagus floridanus,0.01602887726666667,0.046138105400000004,3,0,0,3
Sylvilagus nuttallii,0.03398284213333334,0.1,3,0,0,3
Sylvisorex ollula,0.76,0.76,1,1,1,1
Symphalangus syndactylus,0,0,2,1,1,1
Syncerus caffer,0.009902184233333333,0.046138105400000004,6,1,0.2,5
Tadarida brasiliensis,0.2558159927,1,6,1,0.2,5
Tadarida teniotis,1,1,1,0,0,1
Talpa europaea,0.02,0.02,1,0,0,1
Talpa romana,0.046138105400000004,0.046138105400000004,1,0,0,1
Tamandua tetradactyla,0.14166666666666666,0.325,3,1,0.3333333333333333,3
Tamias amoenus,0.12424362,0.380952381,4,0,0,4
Tamias minimus,0.126984127,0.380952381,3,0,0,2
Tamias quadrivittatus,0,0,1,0,0,1
Tamias sibiricus,0.02,0.02,1,0,0,1
Tamias striatus,0.29054005110000003,1,4,0,0,4
Tamias umbrinus,0,0,1,0,0,1
Tamiasciurus hudsonicus,0.027572534066666668,0.116022099,6,1,0.25,4
Taphozous melanopogon,0.41775833333333334,1,3,1,0.3333333333333333,3
Taphozous perforatus,0.12668877055,0.2501025411,2,2,1,2
Taphozous theobaldi,1,1,1,0,0,1
Tapirus indicus,0,0,1,0,0,1
Tapirus terrestris,0.0925,0.33,4,0,0,3
Tatera indica,0.02153452635,0.046138105400000004,4,0,0,2
Thallomys nigricauda,0.046138105400000004,0.046138105400000004,1,0,0,1
Thaptomys nigrita,0.31,0.31,1,1,1,1
Theropithecus gelada,0.019585950266666666,0.0587578508,3,3,1,3
Thomomys talpoides,0.1,0.1,1,0,0,1
Thylogale billardierii,0,0,1,0,0,1
Thylogale thetis,0,0,1,0,0,1
Tolypeutes matacus,0.21500000000000002,0.33,2,0,0,2
Tonatia bidens,0,0,1,NA,NA,NA
Trachops cirrhosus,0.5833333334999999,1,2,0,0,2
Trachypithecus cristatus,0.018333333333333333,0.055,3,2,1,2
Trachypithecus francoisi,0.04,0.04,1,0,0,1
Trachypithecus obscurus,0.00115977246,0.00115977246,1,1,1,1
Tragelaphus angasii,0.0016375,0.003275,2,1,1,1
Tragelaphus eurycerus,0,0,1,NA,NA,NA
Tragelaphus imberbis,0,0,1,0,0,1
Tragelaphus oryx,0.3333333333333333,1,3,0,0,2
Tragelaphus scriptus,0,0,2,0,0,1
Tragelaphus spekii,0.003275,0.003275,1,1,1,1
Tragelaphus strepsiceros,0.202655,1,5,1,0.25,4
Tragulus javanicus,0.0016375,0.003275,2,1,1,1
Transandinomys bolivaris,9.742632e-4,0.0019485264,2,0,0,1
Trichosurus vulpecula,0,0,1,0,0,1
Tscherskia triton,0.05,0.1,2,0,0,2
Tupaia belangeri,0.025,0.025,1,1,1,1
Tupaia glis,0.025,0.025,1,1,1,1
Tursiops truncatus,0.0587578508,0.0587578508,1,1,1,1
Tylomys nudicaudus,0,0,1,0,0,1
Urocitellus columbianus,0.0580110495,0.116022099,2,0,0,2
Urocitellus parryii,0.5,1,2,0,0,2
Urocitellus richardsonii,0.013333333333333334,0.04,3,0,0,2
Urocitellus undulatus,0.51,1,2,0,0,2
Urocyon cinereoargenteus,0.152246328175,1,8,0,0,7
Urocyon littoralis,1,1,1,0,0,1
Uroderma bilobatum,0.33398284213333335,1,3,0,0,2
Ursus americanus,0.1402806028909091,1,11,1,0.09090909090909091,11
Ursus arctos,0.16188156517142857,1,7,3,0.42857142857142855,7
Ursus maritimus,0.5230690527,1,2,0,0,2
Ursus thibetanus,0.3416666666666667,1,3,1,0.3333333333333333,3
Vampyrodes caraccioli,0,0,2,0,0,2
Vandeleuria oleracea,0.04,0.04,1,0,0,1
Varecia variegata,0.392857143,0.785714286,2,0,0,1
Vespadelus pumilus,0.225,0.225,1,0,0,1
Vespertilio murinus,0.83605283605,1,4,1,0.25,4
Vespertilio sinensis,0.2971056721,0.3442113442,2,1,0.5,2
Vicugna pacos,0.142651438525,0.785714286,8,1,0.14285714285714285,7
Vicugna vicugna,0.0010916666666666668,0.003275,3,1,0.5,2
Vombatus ursinus,0,0,1,0,0,1
Vulpes chama,1,1,1,0,0,1
Vulpes corsac,1,1,1,0,0,1
Vulpes lagopus,0.25,1,4,0,0,3
Vulpes macrotis,0.006991421066666666,0.04,6,0,0,6
Vulpes velox,0.17333333333333334,1,6,0,0,6
Vulpes vulpes,0.19408248556363636,1,11,3,0.3,10
Vulpes zerda,1,1,1,0,0,1
Wallabia bicolor,0,0,1,0,0,1
Xerus erythropus,6e-4,6e-4,1,1,1,1
Xerus inauris,1,1,1,0,0,1
Zalophus californianus,0.07721509797500001,0.2501025411,4,2,0.6666666666666666,3
Zapus hudsonius,0.046138105400000004,0.046138105400000004,1,0,0,1
Zygodontomys brevicauda,0.149648327675,0.380952381,8,0,0,6
